48,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,52
71,72,72,72,72,72,72,72,74,72,73,73,73,73,73,73,73,73,74,73,96,96,96,96,96,96,96,96,74,75
71,72,72,72,72,72,72,72,72,72,73,73,73,73,73,73,73,73,73,73,96,74,96,96,96,96,96,96,96,75
71,72,72,72,72,74,72,72,72,72,73,73,73,73,73,171,73,73,73,73,96,96,96,96,96,96,96,96,96,75
71,72,72,72,72,72,72,72,72,72,73,73,73,73,73,171,171,73,73,73,96,96,96,96,96,96,96,96,96,75
71,72,72,72,72,72,72,72,72,72,73,73,73,73,171,73,73,171,171,171,96,96,96,96,96,74,96,96,96,75
71,72,72,72,72,74,72,72,72,72,73,73,73,73,73,73,73,73,73,73,171,171,96,96,96,96,96,96,96,75
71,72,72,72,72,72,72,72,72,72,73,73,74,73,73,73,73,73,73,73,96,171,96,96,96,96,96,96,96,75
71,72,72,72,72,72,72,72,72,72,73,74,171,171,171,171,171,73,73,73,96,96,171,96,96,96,96,96,96,75
71,72,72,72,72,72,72,72,72,72,171,171,73,73,73,73,171,73,73,73,96,96,171,96,96,96,96,96,96,75
94,96,96,96,96,96,96,96,96,171,96,96,96,96,96,96,171,96,96,95,95,96,171,96,96,96,96,96,96,98
94,96,96,96,96,96,96,96,171,171,96,96,96,96,96,96,96,171,74,95,95,96,171,96,96,96,96,74,96,98
94,96,96,96,96,96,96,96,171,95,96,96,96,96,96,96,96,171,96,95,95,96,171,96,96,96,96,96,96,98
94,96,96,96,96,96,96,96,171,95,96,96,96,74,171,171,171,171,96,95,95,96,171,96,96,96,96,96,96,98
94,96,96,96,96,96,74,96,96,95,96,96,96,171,171,96,171,171,96,95,95,171,96,96,96,96,96,96,96,98
94,96,96,96,96,96,96,96,96,95,96,96,171,171,96,96,96,96,96,95,95,171,96,96,96,96,96,96,96,98
94,96,96,96,96,96,96,96,96,95,96,96,171,96,96,96,96,96,96,95,171,96,96,96,74,96,96,96,96,98
94,96,96,96,96,96,96,96,96,95,96,171,171,96,96,96,96,96,74,95,171,96,96,96,96,96,96,96,96,98
94,96,96,96,96,96,96,96,96,95,171,171,96,96,96,96,96,96,96,171,95,96,96,96,96,96,96,96,96,98
94,95,95,95,95,95,95,95,95,95,171,95,95,95,95,95,95,95,171,171,95,95,95,95,95,95,95,95,95,98
117,96,96,96,96,96,96,96,96,95,171,171,171,96,96,96,96,96,171,95,95,96,96,96,96,96,96,96,96,121
117,96,96,96,96,96,96,96,74,95,96,96,96,171,171,171,171,171,74,95,95,74,96,96,96,96,96,74,96,121
117,96,96,96,96,96,96,96,96,95,96,96,96,74,96,96,96,96,96,95,95,96,96,96,96,96,96,96,96,121
117,96,96,96,96,96,96,96,96,95,96,96,96,96,96,96,96,96,96,95,95,96,96,96,96,96,96,96,96,121
117,96,96,96,96,74,96,96,96,95,96,96,96,96,96,96,74,96,96,95,95,96,96,96,74,96,96,96,96,121
117,96,96,96,96,96,96,96,96,95,96,96,96,96,96,96,96,96,96,95,95,96,96,96,96,96,96,96,96,121
117,96,96,96,96,96,96,96,96,95,96,96,96,96,96,96,96,96,96,95,95,96,96,96,96,96,96,96,96,121
117,96,96,96,96,96,96,96,96,95,96,96,96,96,96,96,96,96,96,95,95,96,96,96,96,96,96,96,96,121
140,141,141,141,141,141,141,141,141,141,142,142,142,142,142,142,142,142,142,142,143,143,143,143,143,143,143,143,143,144
163,164,164,164,164,164,164,164,164,164,165,165,165,165,165,165,165,165,165,165,166,166,166,166,166,166,166,166,166,167
